province,gdp,flag,country
United States,65111,/static/flag_svgs/United States.png,United States
Australia,53825,/static/flag_svgs/Australia.png,Australia
France,41760,/static/flag_svgs/France.png,France
United Kingdom,41030,/static/flag_svgs/United Kingdom.png,United Kingdom
Jakarta,16682,/static/flag_svgs/Jakarta.png,Indonesia
Panama,16245,/static/flag_svgs/Panama.png,Panama
East Kalimantan,10890,/static/flag_svgs/East Kalimantan.png,Indonesia
North Kalimantan,8140,/static/flag_svgs/North Kalimantan.png,Indonesia
Riau Islands,7590,/static/flag_svgs/Riau Islands.png,Indonesia
Riau,6742,/static/flag_svgs/Riau.png,Indonesia
West Papua,5449,/static/flag_svgs/West Papua.png,Indonesia
Indonesia,3718,/static/flag_svgs/Indonesia.png,Indonesia (country)
Bolivia,3670,/static/flag_svgs/Bolivia.png,Bolivia
Jambi,3724,/static/flag_svgs/Jambi.png,Indonesia
East Java,3673,/static/flag_svgs/East Java.png,Indonesia
Bali,3611,/static/flag_svgs/Bali.png,Indonesia
Papua,3480,/static/flag_svgs/Papua.png,Indonesia
Sumatra,3413,/static/flag_svgs/Sumatra.png,Indonesia
Sulawesi,3378,/static/flag_svgs/Sulawesi.png,Indonesia
Banten,3189,/static/flag_svgs/Banten.png,Indonesia
West Java,2671,/static/flag_svgs/West Java.png,Indonesia
Lampung,2647,/static/flag_svgs/Lampung.png,Indonesia
Central Java,2433,/static/flag_svgs/Central Java.png,Indonesia
Bengkulu,2245,/static/flag_svgs/Bengkulu.png,Indonesia
Gorontalo,2121,/static/flag_svgs/Gorontalo.png,Indonesia
Maluku,1590,/static/flag_svgs/Maluku.png,Indonesia
West Nusa Tenggara,1422,/static/flag_svgs/West Nusa Tenggara.png,West Nusa Tenggara
Pakistan,1388,/static/flag_svgs/Pakistan.png,Pakistan
East Nusa Tenggara,1214,/static/flag_svgs/East Nusa Tenggara.png,Indonesia